epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.61184,0.39336,3.21347,0.88752,0.13311,0.1875,0.1737,0.15473,0.34008,3.20167,0.93432,1.667e-05,1.667e-05,1.667e-05
2,2.41327,0.41777,2.94696,0.92619,0.12325,0.3125,0.12692,0.11476,0.33774,3.16586,0.93259,4.95149e-05,4.95149e-05,4.95149e-05
3,3.1642,0.44237,3.27666,0.96642,0.82389,0.375,0.52463,0.51653,0.2649,2.07679,0.85145,8.16997e-05,8.16997e-05,8.16997e-05
4,4.01401,0.33518,2.28113,0.82542,0.82426,0.375,0.54357,0.53798,0.26176,2.10686,0.85002,0.000113224,0.000113224,0.000113224
5,4.91911,0.30262,1.76997,0.86133,0.60514,0.875,0.77048,0.74185,0.28673,1.3298,0.85881,0.000144089,0.000144089,0.000144089
6,5.81845,0.36077,1.52395,0.85773,0.69131,0.9103,0.84694,0.83371,0.24159,1.65925,0.81381,0.000174293,0.000174293,0.000174293
7,6.73514,0.31715,1.24758,0.85972,0.72948,1,0.945,0.93432,0.2245,1.08351,0.81563,0.000203837,0.000203837,0.000203837
8,7.61336,0.31435,1.00048,0.87235,0.97004,1,0.995,0.94554,0.30655,1.04248,0.82472,0.000232722,0.000232722,0.000232722
9,8.52735,0.37398,0.8487,0.84278,0.98237,1,0.995,0.94931,0.36062,1.39351,0.83662,0.000260946,0.000260946,0.000260946
10,9.39591,0.33438,0.83374,0.86454,0.97065,1,0.995,0.93997,0.36155,1.60844,0.82708,0.000288509,0.000288509,0.000288509
11,10.2592,0.36726,0.68749,0.84683,0.98506,1,0.995,0.93983,0.3234,1.02597,0.82224,0.000315413,0.000315413,0.000315413
12,11.0785,0.35983,0.74776,0.8716,0.90265,1,0.995,0.96752,0.2884,1.56594,0.82044,0.000341657,0.000341657,0.000341657
13,11.9747,0.33484,0.692,0.83988,0.87183,1,0.995,0.96403,0.30108,1.34781,0.82621,0.00036724,0.00036724,0.00036724
14,12.8237,0.36327,0.64347,0.85168,0.99133,1,0.995,0.96532,0.33157,0.72545,0.82909,0.000392163,0.000392163,0.000392163
15,13.6702,0.36674,0.6239,0.7981,0.98869,1,0.995,0.96745,0.35205,1.53887,0.83306,0.000416427,0.000416427,0.000416427
16,14.5017,0.3639,0.58155,0.8494,0.99087,1,0.995,0.92508,0.36346,1.0175,0.83242,0.00044003,0.00044003,0.00044003
17,15.3539,0.35685,0.60032,0.83139,0.98899,1,0.995,0.95491,0.32294,0.79725,0.81748,0.000462973,0.000462973,0.000462973
18,16.1602,0.37328,0.59169,0.83154,0.98939,1,0.995,0.95478,0.32954,1.10941,0.82311,0.000485255,0.000485255,0.000485255
